frame,render_index,decode_ms,render_ms,total_ms
185,0,0.378073,4.33823,4.7163
185,1,0,2.59661,2.59661
185,2,0,3.91068,3.91068
185,3,0,1.765,1.765
186,0,0.355729,4.01245,4.36818
186,1,0,3.68786,3.68786
186,2,0,2.88625,2.88625
186,3,0,1.79479,1.79479
187,0,0.35698,4.12536,4.48234
187,1,0,2.00271,2.00271
187,2,0,2.89365,2.89365
187,3,0,4.01578,4.01578
188,0,0.41052,3.19693,3.60745
188,1,0,2.33953,2.33953
188,2,0,1.80714,1.80714
188,3,0,2.41812,2.41812
189,0,0.519219,5.06354,5.58276
189,1,0,2.685,2.685
189,2,0,1.88979,1.88979
189,3,0,2.60234,2.60234
190,0,0.51,4.78354,5.29354
190,1,0,1.78995,1.78995
190,2,0,2.61172,2.61172
190,3,0,1.93656,1.93656
191,0,0.556042,4.16083,4.71687
191,1,0,3.96339,3.96339
191,2,0,1.79354,1.79354
191,3,0,2.59057,2.59057
192,0,0.477135,3.92412,4.40125
192,1,0,3.94453,3.94453
192,2,0,1.79469,1.79469
192,3,0,2.66557,2.66557
193,0,0.513125,3.93135,4.44448
193,1,0,3.9126,3.9126
193,2,0,1.80083,1.80083
193,3,0,1.79,1.79
194,0,0.817396,3.96875,4.78615
194,1,0,2.48849,2.48849
194,2,0,3.95406,3.95406
194,3,0,1.81406,1.81406
195,0,0.461042,4.04312,4.50417
195,1,0,2.60365,2.60365
195,2,0,3.88531,3.88531
195,3,0,1.81271,1.81271
196,0,0.863021,4.05156,4.91458
196,1,0,1.83255,1.83255
196,2,0,2.3974,2.3974
196,3,0,3.91922,3.91922
197,0,0.584844,4.2774,4.86224
197,1,0,1.86073,1.86073
197,2,0,2.6837,2.6837
197,3,0,3.9213,3.9213
198,0,0.500104,3.14781,3.64792
198,1,0,3.01901,3.01901
198,2,0,2.90943,2.90943
198,3,0,3.92422,3.92422
199,0,0.564843,3.17615,3.74099
199,1,0,2.59302,2.59302
199,2,0,1.76401,1.76401
199,3,0,2.58573,2.58573
200,0,0.391458,5.31245,5.70391
200,1,0,2.90917,2.90917
200,2,0,2.46031,2.46031
200,3,0,2.85786,2.85786
201,0,0.53625,5.76687,6.30312
201,1,0,2.59453,2.59453
201,2,0,1.80917,1.80917
201,3,0,2.67557,2.67557
202,0,0.603229,5.87537,6.47859
202,1,0,2.91172,2.91172
202,2,0,1.81448,1.81448
202,3,0,2.59505,2.59505
203,0,0.728646,5.57292,6.30156
203,1,0,1.84641,1.84641
203,2,0,2.42891,2.42891
203,3,0,2.57344,2.57344
204,0,0.469427,5.77099,6.24042
204,1,0,1.80917,1.80917
204,2,0,2.54328,2.54328
204,3,0,1.7925,1.7925
205,0,0.365156,4.96177,5.32693
205,1,0,3.91677,3.91677
205,2,0,2.55448,2.55448
205,3,0,1.78438,1.78438
206,0,0.372761,5.03286,5.40562
206,1,0,4.01083,4.01083
206,2,0,2.66261,2.66261
